ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	711	0	0	0.000000	4.655415	4.655415	0.000000	0.000000	0	0	0
2	866	0	0	0.000000	4.429561	4.429561	0.000000	0.000000	0	0	0
3	559	2	0	0.000000	3.917710	3.917710	0.000000	0.000000	0	0	0
4	699	0	0	0.000000	4.590844	4.590844	0.000000	0.000000	0	0	0
5	431	0	0	0.000000	5.317865	5.317865	0.000000	0.000000	0	0	0
6	705	0	0	0.000000	4.818440	4.818440	0.000000	0.000000	0	0	0
7	51	1	1	0.000000	3.215686	3.215686	0.000000	0.000000	0	0	0
8	422	0	2	0.000000	4.646919	4.646919	0.000000	0.000000	0	0	0
9	230	0	0	0.000000	4.782609	4.782609	0.000000	0.000000	0	0	0
10	319	0	0	0.000000	4.169279	4.169279	0.000000	0.000000	0	0	0
11	1143	0	0	0.000000	4.825022	4.825022	0.000000	0.000000	0	0	0
12	1084	0	0	0.000000	4.407749	4.407749	0.000000	0.000000	0	0	0
13	673	0	0	0.000000	4.658247	4.658247	0.000000	0.000000	0	0	0
14	351	0	0	0.000000	4.116809	3.937322	0.000000	0.000000	0	0	0
15	138	0	0	0.000000	3.876812	3.876812	0.000000	0.000000	0	0	0
16	991	0	0	0.000000	4.435923	4.435923	0.000000	0.000000	0	0	0
17	1070	0	0	0.000000	4.450467	4.340187	0.000000	0.000000	0	0	0
18	236	0	0	0.000000	4.046610	4.046610	0.000000	0.000000	0	0	0
19	400	0	0	0.000000	4.865000	4.635000	0.000000	0.000000	0	0	0
20	432	0	0	0.000000	4.583333	4.583333	0.000000	0.000000	0	0	0
21	471	0	0	0.000000	4.261146	4.261146	0.000000	0.000000	0	0	0
22	429	0	0	0.000000	3.909091	3.909091	0.000000	0.000000	0	0	0
23	218	0	0	0.000000	4.866972	4.866972	0.000000	0.000000	0	0	0
24	123	0	0	0.000000	3.585366	3.585366	0.000000	0.000000	0	0	0
25	223	0	0	0.000000	4.995516	4.995516	0.000000	0.000000	0	0	0
26	159	0	0	0.000000	3.899371	3.899371	0.000000	0.000000	0	0	0
27	402	0	0	0.000000	4.485075	4.485075	0.000000	0.000000	0	0	0
28	319	0	0	0.000000	4.197492	4.197492	0.000000	0.000000	0	0	0
29	571	0	0	0.000000	3.469352	3.469352	0.000000	0.000000	0	0	0
30	188	0	0	0.000000	4.170213	4.170213	0.000000	0.000000	0	0	0
31	168	0	0	0.000000	3.553571	3.553571	0.000000	0.000000	0	0	0
32	195	0	0	0.000000	3.041026	3.041026	0.000000	0.000000	0	0	0
33	333	0	0	0.000000	3.906907	3.906907	0.000000	0.000000	0	0	0
34	126	0	0	0.000000	3.198413	3.198413	0.000000	0.000000	0	0	0
35	186	0	0	0.000000	3.919355	3.919355	0.000000	0.000000	0	0	0
36	51	1	1	0.000000	1.039216	1.039216	0.000000	0.000000	0	0	0
